GISJOIN,YEAR,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHH,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,NAME_E,AJ6QE001,AJ6QE002,AJ6QE003,AJ6QE004,AJ6QE005,AJ6QE006,AJ6QE007,AJ6QE008,AJ6QE009,AJ6QE010,AJ6QE011,AJ6QE012,AJ6QE013,AJ6QE014,AJ6QE015,AJ6QE016,AJ6QE017,AJ6QE018,AJ6QE019,AJ6QE020,AJ6QE021,AJ6QE022,AJ6QE023,AJ6QE024,AJ6QE025,AJ6QE026,AJ6QE027,AJ6QE028,AJ6QE029,AJ6QE030,AJ6QE031,NAME_M,AJ6QM001,AJ6QM002,AJ6QM003,AJ6QM004,AJ6QM005,AJ6QM006,AJ6QM007,AJ6QM008,AJ6QM009,AJ6QM010,AJ6QM011,AJ6QM012,AJ6QM013,AJ6QM014,AJ6QM015,AJ6QM016,AJ6QM017,AJ6QM018,AJ6QM019,AJ6QM020,AJ6QM021,AJ6QM022,AJ6QM023,AJ6QM024,AJ6QM025,AJ6QM026,AJ6QM027,AJ6QM028,AJ6QM029,AJ6QM030,AJ6QM031
"G2910","2014-2018",,,,,,,,,"Port Gamble Reservation and Off-Reservation Trust Land, WA","2910",,,,,,,,,,,,,,,,,,,,,,"Port Gamble Reservation and Off-Reservation Trust Land, WA",443,217,17,19,27,23,4,10,12,11,29,15,25,18,5,2,226,12,28,24,14,10,7,22,14,35,22,17,14,6,1,"Port Gamble Reservation and Off-Reservation Trust Land, WA",79,54,12,10,14,13,4,12,8,8,18,9,11,12,5,3,48,11,16,14,9,16,5,12,8,14,15,10,10,8,3
"G2925","2014-2018",,,,,,,,,"Port Madison Reservation, WA","2925",,,,,,,,,,,,,,,,,,,,,,"Port Madison Reservation, WA",508,242,26,10,13,27,7,12,19,17,26,26,32,20,2,5,266,7,33,32,9,10,15,19,14,42,25,27,24,7,2,"Port Madison Reservation, WA",114,59,15,7,14,18,5,10,12,11,15,15,13,16,3,6,70,6,20,14,7,15,10,13,9,19,15,16,14,9,3
"G2980","2014-2018",,,,,,,,,"Prairie Band of Potawatomi Nation Reservation, KS","2980",,,,,,,,,,,,,,,,,,,,,,"Prairie Band of Potawatomi Nation Reservation, KS",707,308,40,28,45,24,4,9,9,25,40,29,19,27,7,2,399,37,54,27,26,15,34,19,27,33,29,33,46,14,5,"Prairie Band of Potawatomi Nation Reservation, KS",106,62,27,19,22,9,6,8,7,16,12,11,11,12,6,3,65,15,20,18,11,12,17,15,9,17,15,15,9,7,4
"G2985","2014-2018",,,,,,,,,"Prairie Island Indian Community and Off-Reservation Trust Land, MN","2985",,,,,,,,,,,,,,,,,,,,,,"Prairie Island Indian Community and Off-Reservation Trust Land, MN",118,51,1,2,2,1,1,2,6,4,6,7,10,3,5,1,67,7,2,8,2,2,0,5,1,4,7,12,13,4,0,"Prairie Island Indian Community and Off-Reservation Trust Land, MN",54,30,2,3,3,2,3,4,9,5,7,8,12,5,7,3,32,7,3,9,4,4,9,8,2,4,7,13,13,6,9
"G2990","2014-2018",,,,,,,,,"Pueblo of Pojoaque and Off-Reservation Trust Land, NM","2990",,,,,,,,,,,,,,,,,,,,,,"Pueblo of Pojoaque and Off-Reservation Trust Land, NM",441,223,19,12,20,15,5,37,14,20,24,22,23,7,5,0,218,18,16,28,14,16,32,13,14,22,22,11,7,5,0,"Pueblo of Pojoaque and Off-Reservation Trust Land, NM",60,38,13,6,8,7,5,17,11,10,11,12,14,5,4,12,34,9,10,11,7,9,13,7,6,10,10,8,5,4,12
"G3000","2014-2018",,,,,,,,,"Puyallup Reservation and Off-Reservation Trust Land, WA","3000",,,,,,,,,,,,,,,,,,,,,,"Puyallup Reservation and Off-Reservation Trust Land, WA",1260,661,55,43,68,8,3,96,100,23,44,57,95,35,18,16,599,22,40,51,3,12,58,76,80,55,50,90,28,34,0,"Puyallup Reservation and Off-Reservation Trust Land, WA",302,184,42,27,36,8,5,51,64,15,23,44,51,28,11,22,162,23,21,41,5,10,40,42,45,30,26,45,26,32,28
"G3010","2014-2018",,,,,,,,,"Pyramid Lake Paiute Reservation, NV","3010",,,,,,,,,,,,,,,,,,,,,,"Pyramid Lake Paiute Reservation, NV",917,440,22,18,50,13,18,31,33,54,44,52,41,32,25,7,477,59,31,26,16,12,15,30,67,27,69,50,49,21,5,"Pyramid Lake Paiute Reservation, NV",133,87,16,12,27,10,21,19,21,30,23,24,20,19,16,10,83,29,16,14,12,13,11,16,26,18,28,19,25,14,7
"G3020","2014-2018",,,,,,,,,"Quartz Valley Reservation and Off-Reservation Trust Land, CA","3020",,,,,,,,,,,,,,,,,,,,,,"Quartz Valley Reservation and Off-Reservation Trust Land, CA",56,25,0,2,4,1,0,1,8,4,2,2,1,0,0,0,31,3,4,2,0,4,2,1,5,3,3,4,0,0,0,"Quartz Valley Reservation and Off-Reservation Trust Land, CA",39,21,12,6,8,2,12,2,9,5,4,5,2,12,12,12,23,7,7,4,12,6,4,2,7,5,5,6,12,12,12
"G3030","2014-2018",,,,,,,,,"Quileute Reservation, WA","3030",,,,,,,,,,,,,,,,,,,,,,"Quileute Reservation, WA",388,220,23,24,28,15,5,24,11,7,35,23,11,13,1,0,168,11,14,11,11,1,6,34,14,16,26,10,11,3,0,"Quileute Reservation, WA",82,59,16,12,16,14,6,16,7,6,19,13,6,10,2,12,37,8,10,7,10,2,8,16,11,11,11,8,7,5,12
"G3040","2014-2018",,,,,,,,,"Quinault Reservation, WA","3040",,,,,,,,,,,,,,,,,,,,,,"Quinault Reservation, WA",895,478,49,35,39,37,20,47,49,32,46,47,35,28,9,5,417,27,30,43,17,4,26,18,32,42,55,54,37,30,2,"Quinault Reservation, WA",144,89,21,17,17,14,17,28,34,15,20,20,21,14,9,5,82,15,19,21,13,5,17,16,18,19,23,22,16,18,3
"G3070","2014-2018",,,,,,,,,"Ramona Village, CA","3070",,,,,,,,,,,,,,,,,,,,,,"Ramona Village, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ramona Village, CA",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"G3085","2014-2018",,,,,,,,,"Red Cliff Reservation and Off-Reservation Trust Land, WI","3085",,,,,,,,,,,,,,,,,,,,,,"Red Cliff Reservation and Off-Reservation Trust Land, WI",1038,506,27,32,42,23,33,38,38,29,52,87,53,48,4,0,532,39,39,40,35,6,41,44,52,49,78,68,31,4,6,"Red Cliff Reservation and Off-Reservation Trust Land, WI",84,53,15,13,14,9,11,14,13,14,13,16,13,16,8,9,47,16,17,22,14,6,15,8,5,16,21,10,16,5,9
"G3095","2014-2018",,,,,,,,,"Redding Rancheria, CA","3095",,,,,,,,,,,,,,,,,,,,,,"Redding Rancheria, CA",19,9,0,0,0,4,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,4,0,0,"Redding Rancheria, CA",22,16,12,12,12,9,12,12,12,12,7,12,12,12,12,12,9,12,12,12,12,12,12,12,12,12,10,12,5,12,12
"G3100","2014-2018",,,,,,,,,"Red Lake Reservation, MN","3100",,,,,,,,,,,,,,,,,,,,,,"Red Lake Reservation, MN",5593,2776,484,312,288,139,79,199,241,236,226,207,235,99,31,0,2817,358,393,289,220,83,184,197,120,360,289,181,105,31,7,"Red Lake Reservation, MN",116,152,80,73,77,43,40,90,71,54,57,61,54,54,22,12,163,100,99,80,29,36,63,69,64,77,65,67,41,24,10
