GISJOIN,YEAR,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHH,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,NAME_E,AJ6QE001,AJ6QE002,AJ6QE003,AJ6QE004,AJ6QE005,AJ6QE006,AJ6QE007,AJ6QE008,AJ6QE009,AJ6QE010,AJ6QE011,AJ6QE012,AJ6QE013,AJ6QE014,AJ6QE015,AJ6QE016,AJ6QE017,AJ6QE018,AJ6QE019,AJ6QE020,AJ6QE021,AJ6QE022,AJ6QE023,AJ6QE024,AJ6QE025,AJ6QE026,AJ6QE027,AJ6QE028,AJ6QE029,AJ6QE030,AJ6QE031,NAME_M,AJ6QM001,AJ6QM002,AJ6QM003,AJ6QM004,AJ6QM005,AJ6QM006,AJ6QM007,AJ6QM008,AJ6QM009,AJ6QM010,AJ6QM011,AJ6QM012,AJ6QM013,AJ6QM014,AJ6QM015,AJ6QM016,AJ6QM017,AJ6QM018,AJ6QM019,AJ6QM020,AJ6QM021,AJ6QM022,AJ6QM023,AJ6QM024,AJ6QM025,AJ6QM026,AJ6QM027,AJ6QM028,AJ6QM029,AJ6QM030,AJ6QM031
"G0010","2014-2018",,,,,,,,,"Acoma Pueblo and Off-Reservation Trust Land, NM","0010",,,,,,,,,,,,,,,,,,,,,,"Acoma Pueblo and Off-Reservation Trust Land, NM",2689,1224,54,93,84,50,60,101,101,79,119,154,181,94,49,5,1465,71,110,151,57,26,80,114,68,206,183,236,90,43,30,"Acoma Pueblo and Off-Reservation Trust Land, NM",250,135,22,32,28,31,37,37,42,29,37,47,42,35,28,8,163,33,40,47,32,18,35,44,27,42,52,46,30,23,21
"G0020","2014-2018",,,,,,,,,"Agua Caliente Indian Reservation and Off-Reservation Trust Land, CA","0020",,,,,,,,,,,,,,,,,,,,,,"Agua Caliente Indian Reservation and Off-Reservation Trust Land, CA",239,123,7,11,0,0,0,3,8,2,9,33,37,9,4,0,116,4,3,2,0,6,2,17,0,3,18,19,17,12,13,"Agua Caliente Indian Reservation and Off-Reservation Trust Land, CA",70,38,7,11,23,23,23,4,10,4,6,18,21,8,4,23,49,6,6,4,23,9,5,13,23,5,15,18,9,13,18
"G0050","2014-2018",,,,,,,,,"Alabama-Coushatta Reservation and Off-Reservation Trust Land, TX","0050",,,,,,,,,,,,,,,,,,,,,,"Alabama-Coushatta Reservation and Off-Reservation Trust Land, TX",519,213,16,20,45,10,0,12,12,13,21,17,23,18,6,0,306,29,24,30,15,13,32,5,16,26,33,26,47,8,2,"Alabama-Coushatta Reservation and Off-Reservation Trust Land, TX",98,52,15,16,16,13,13,11,16,13,18,14,22,12,5,13,81,22,27,26,12,13,19,6,14,23,24,17,12,13,4
"G0080","2014-2018",,,,,,,,,"Allegany Reservation, NY","0080",,,,,,,,,,,,,,,,,,,,,,"Allegany Reservation, NY",1707,763,85,41,87,57,27,64,43,57,83,121,52,28,16,2,944,108,103,112,33,39,58,53,45,111,122,51,71,28,10,"Allegany Reservation, NY",142,81,31,19,28,13,14,16,18,19,25,22,19,17,11,4,89,25,28,31,15,19,24,22,17,26,25,18,18,12,7
"G0095","2014-2018",,,,,,,,,"Alturas Indian Rancheria, CA","0095",,,,,,,,,,,,,,,,,,,,,,"Alturas Indian Rancheria, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alturas Indian Rancheria, CA",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"G0110","2014-2018",,,,,,,,,"Annette Island Reserve, AK","0110",,,,,,,,,,,,,,,,,,,,,,"Annette Island Reserve, AK",1210,658,53,67,65,34,0,37,40,38,78,74,68,85,19,0,552,30,55,52,16,23,54,25,45,38,64,81,45,19,5,"Annette Island Reserve, AK",104,63,16,25,16,11,9,15,17,14,23,21,17,11,10,9,65,13,19,21,13,18,20,15,12,20,21,22,17,9,5
"G0115","2014-2018",,,,,,,,,"Aroostook Band of Micmac Trust Land, ME","0115",,,,,,,,,,,,,,,,,,,,,,"Aroostook Band of Micmac Trust Land, ME",180,83,17,17,8,0,0,0,2,6,23,6,2,0,2,0,97,17,10,3,2,1,3,22,2,10,2,14,4,7,0,"Aroostook Band of Micmac Trust Land, ME",54,29,10,11,8,10,10,10,3,8,16,6,3,10,3,10,33,11,10,4,4,2,5,14,5,11,4,11,5,8,10
"G0120","2014-2018",,,,,,,,,"Auburn Rancheria and Off-Reservation Trust Land, CA","0120",,,,,,,,,,,,,,,,,,,,,,"Auburn Rancheria and Off-Reservation Trust Land, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Auburn Rancheria and Off-Reservation Trust Land, CA",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"G0125","2014-2018",,,,,,,,,"Augustine Reservation, CA","0125",,,,,,,,,,,,,,,,,,,,,,"Augustine Reservation, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Augustine Reservation, CA",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"G0140","2014-2018",,,,,,,,,"Bad River Reservation, WI","0140",,,,,,,,,,,,,,,,,,,,,,"Bad River Reservation, WI",1243,697,36,78,72,44,14,45,30,48,95,73,89,52,21,0,546,72,64,42,13,6,27,36,14,44,67,76,52,28,5,"Bad River Reservation, WI",142,89,20,31,28,25,13,31,23,23,22,24,20,12,11,9,101,32,26,21,11,8,16,20,10,23,19,27,20,14,6
"G0155","2014-2018",,,,,,,,,"Barona Reservation and Off-Reservation Trust Land, CA","0155",,,,,,,,,,,,,,,,,,,,,,"Barona Reservation and Off-Reservation Trust Land, CA",512,261,31,16,24,14,14,17,33,10,39,31,25,0,7,0,251,22,13,24,5,28,35,10,15,21,41,22,7,8,0,"Barona Reservation and Off-Reservation Trust Land, CA",97,62,25,11,13,10,15,15,23,8,19,14,12,12,6,12,53,15,10,12,4,23,19,13,14,9,17,11,7,8,12
"G0165","2014-2018",,,,,,,,,"Battle Mountain Reservation and Off-Reservation Trust Land, NV","0165",,,,,,,,,,,,,,,,,,,,,,"Battle Mountain Reservation and Off-Reservation Trust Land, NV",251,98,12,4,9,1,1,0,10,9,14,12,18,7,1,0,153,16,7,3,18,0,0,35,9,18,12,15,15,5,0,"Battle Mountain Reservation and Off-Reservation Trust Land, NV",106,48,15,6,17,3,3,12,15,11,24,21,15,9,2,12,73,19,9,5,26,12,12,26,14,20,8,15,16,6,12
"G0170","2014-2018",,,,,,,,,"Bay Mills Reservation and Off-Reservation Trust Land, MI","0170",,,,,,,,,,,,,,,,,,,,,,"Bay Mills Reservation and Off-Reservation Trust Land, MI",856,442,35,44,31,20,24,46,36,30,66,34,26,36,9,5,414,27,28,15,24,20,55,24,13,80,48,31,29,6,14,"Bay Mills Reservation and Off-Reservation Trust Land, MI",121,80,17,18,13,13,20,26,20,15,25,16,13,20,7,4,60,15,14,12,16,16,29,15,10,21,19,16,15,7,12
"G0185","2014-2018",,,,,,,,,"Benton Paiute Reservation and Off-Reservation Trust Land, CA","0185",,,,,,,,,,,,,,,,,,,,,,"Benton Paiute Reservation and Off-Reservation Trust Land, CA",104,29,0,0,5,0,0,0,0,0,11,4,2,2,5,0,75,4,8,4,0,0,0,10,5,23,12,2,7,0,0,"Benton Paiute Reservation and Off-Reservation Trust Land, CA",55,18,12,12,10,12,12,12,12,12,11,7,3,4,7,12,47,9,13,9,12,12,12,18,6,19,18,4,7,12,12
"G0200","2014-2018",,,,,,,,,"Berry Creek Rancheria and Off-Reservation Trust Land, CA","0200",,,,,,,,,,,,,,,,,,,,,,"Berry Creek Rancheria and Off-Reservation Trust Land, CA",98,47,6,10,4,11,2,2,2,0,2,4,2,1,0,1,51,7,3,8,0,0,7,5,5,5,2,4,3,2,0,"Berry Creek Rancheria and Off-Reservation Trust Land, CA",59,36,10,13,7,12,5,5,3,12,4,6,3,2,12,2,30,10,5,11,12,12,12,7,6,6,3,5,5,5,12
"G0215","2014-2018",,,,,,,,,"Big Bend Rancheria, CA","0215",,,,,,,,,,,,,,,,,,,,,,"Big Bend Rancheria, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Big Bend Rancheria, CA",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"G0225","2014-2018",,,,,,,,,"Big Cypress Reservation, FL","0225",,,,,,,,,,,,,,,,,,,,,,"Big Cypress Reservation, FL",521,278,9,44,45,7,19,6,22,6,38,29,24,11,13,5,243,9,22,54,0,5,6,9,13,49,29,22,16,9,0,"Big Cypress Reservation, FL",60,39,13,13,23,12,19,9,16,9,25,20,17,13,12,9,46,11,18,20,13,9,6,10,15,16,17,20,16,11,13
"G0240","2014-2018",,,,,,,,,"Big Lagoon Rancheria, CA","0240",,,,,,,,,,,,,,,,,,,,,,"Big Lagoon Rancheria, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Big Lagoon Rancheria, CA",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"G0250","2014-2018",,,,,,,,,"Big Pine Reservation and Off-Reservation Trust Land, CA","0250",,,,,,,,,,,,,,,,,,,,,,"Big Pine Reservation and Off-Reservation Trust Land, CA",336,154,8,11,15,7,6,19,8,10,22,19,13,12,0,4,182,3,21,13,2,1,3,12,21,19,40,19,18,6,4,"Big Pine Reservation and Off-Reservation Trust Land, CA",63,50,8,9,9,5,6,14,9,8,12,18,7,7,12,6,30,3,10,8,4,3,4,6,10,10,13,9,9,8,5
"G0265","2014-2018",,,,,,,,,"Big Sandy Rancheria and Off-Reservation Trust Land, CA","0265",,,,,,,,,,,,,,,,,,,,,,"Big Sandy Rancheria and Off-Reservation Trust Land, CA",127,52,5,11,3,6,9,2,0,2,7,2,3,1,1,0,75,18,10,4,8,2,3,0,11,10,2,2,3,2,0,"Big Sandy Rancheria and Off-Reservation Trust Land, CA",57,34,8,9,6,11,14,4,12,3,7,3,4,2,2,12,31,11,11,5,6,3,4,12,8,11,3,3,5,3,12
"G0275","2014-2018",,,,,,,,,"Big Valley Rancheria, CA","0275",,,,,,,,,,,,,,,,,,,,,,"Big Valley Rancheria, CA",153,79,11,4,5,6,0,6,0,15,13,7,8,0,4,0,74,2,8,11,2,1,7,3,19,7,10,2,0,2,0,"Big Valley Rancheria, CA",93,50,14,5,7,8,12,7,12,18,17,13,8,12,6,12,49,4,12,13,3,3,8,7,19,11,12,5,12,3,12
"G0290","2014-2018",,,,,,,,,"Bishop Reservation, CA","0290",,,,,,,,,,,,,,,,,,,,,,"Bishop Reservation, CA",1219,523,55,39,77,20,21,35,17,56,52,29,71,37,10,4,696,60,42,57,22,23,71,55,48,92,68,49,66,30,13,"Bishop Reservation, CA",107,81,18,25,27,8,16,18,15,10,19,32,19,15,11,8,72,26,24,19,15,18,13,15,15,25,17,20,20,17,13
"G0305","2014-2018",,,,,,,,,"Blackfeet Indian Reservation and Off-Reservation Trust Land, MT","0305",,,,,,,,,,,,,,,,,,,,,,"Blackfeet Indian Reservation and Off-Reservation Trust Land, MT",8673,4184,358,451,401,195,158,346,250,246,489,440,511,227,73,39,4489,390,373,534,271,115,335,264,289,481,528,476,277,84,72,"Blackfeet Indian Reservation and Off-Reservation Trust Land, MT",239,152,48,76,66,69,9,53,62,43,32,57,17,23,24,23,143,55,84,77,25,32,8,56,37,48,41,69,20,33,35
"G0325","2014-2018",,,,,,,,,"Blue Lake Rancheria and Off-Reservation Trust Land, CA","0325",,,,,,,,,,,,,,,,,,,,,,"Blue Lake Rancheria and Off-Reservation Trust Land, CA",30,17,6,0,0,0,0,0,0,0,2,2,0,7,0,0,13,0,0,0,1,0,0,0,0,0,7,0,4,0,1,"Blue Lake Rancheria and Off-Reservation Trust Land, CA",18,14,10,12,12,12,12,12,12,12,3,3,12,6,12,12,13,12,12,12,2,12,12,12,12,12,10,12,7,12,2
"G0335","2014-2018",,,,,,,,,"Bois Forte Reservation and Off-Reservation Trust Land, MN","0335",,,,,,,,,,,,,,,,,,,,,,"Bois Forte Reservation and Off-Reservation Trust Land, MN",724,371,26,35,46,14,3,25,37,17,56,66,24,5,17,0,353,44,49,52,15,13,14,25,10,28,21,36,37,7,2,"Bois Forte Reservation and Off-Reservation Trust Land, MN",135,78,15,23,18,10,7,16,16,13,20,27,14,8,13,9,76,27,18,19,10,9,11,18,9,15,14,15,14,6,4
"G0350","2014-2018",,,,,,,,,"Bridgeport Reservation and Off-Reservation Trust Land, CA","0350",,,,,,,,,,,,,,,,,,,,,,"Bridgeport Reservation and Off-Reservation Trust Land, CA",56,22,0,0,0,0,0,0,4,4,1,1,2,0,10,0,34,0,0,0,0,0,23,0,1,0,3,0,3,3,1,"Bridgeport Reservation and Off-Reservation Trust Land, CA",46,25,12,12,12,12,12,12,8,8,2,2,6,12,21,12,31,12,12,12,12,12,29,12,3,12,4,12,4,5,5
"G0360","2014-2018",,,,,,,,,"Brighton Reservation, FL","0360",,,,,,,,,,,,,,,,,,,,,,"Brighton Reservation, FL",508,293,16,24,36,29,15,20,20,2,38,41,26,14,12,0,215,14,36,32,9,3,1,8,10,37,43,14,7,0,1,"Brighton Reservation, FL",27,18,8,9,10,7,15,19,21,5,20,24,14,16,8,13,26,6,11,11,6,6,3,11,10,14,20,14,9,13,2
"G0400","2014-2018",,,,,,,,,"Burns Paiute Indian Colony and Off-Reservation Trust Land, OR","0400",,,,,,,,,,,,,,,,,,,,,,"Burns Paiute Indian Colony and Off-Reservation Trust Land, OR",79,33,2,1,2,2,0,4,4,3,3,4,4,2,2,0,46,2,1,0,3,0,2,2,4,10,4,10,4,3,1,"Burns Paiute Indian Colony and Off-Reservation Trust Land, OR",46,26,4,3,4,3,12,8,9,5,5,6,9,5,5,12,28,3,3,12,4,12,6,4,6,11,6,9,6,4,2
"G0415","2014-2018",,,,,,,,,"Cabazon Reservation, CA","0415",,,,,,,,,,,,,,,,,,,,,,"Cabazon Reservation, CA",34,9,0,0,0,0,0,2,0,0,5,0,0,0,2,0,25,0,4,2,0,2,0,0,1,6,6,4,0,0,0,"Cabazon Reservation, CA",18,9,12,12,12,12,12,3,12,12,8,12,12,12,3,12,18,12,6,3,12,3,12,12,2,7,8,6,12,12,12
"G0435","2014-2018",,,,,,,,,"Cahuilla Reservation, CA","0435",,,,,,,,,,,,,,,,,,,,,,"Cahuilla Reservation, CA",43,26,2,5,0,0,0,3,12,2,0,2,0,0,0,0,17,0,0,2,2,0,0,3,0,3,2,5,0,0,0,"Cahuilla Reservation, CA",28,21,4,8,12,12,12,5,10,4,12,3,12,12,12,12,11,12,12,3,3,12,12,5,12,5,4,6,12,12,12
"G0440","2014-2018",,,,,,,,,"Campbell Ranch, NV","0440",,,,,,,,,,,,,,,,,,,,,,"Campbell Ranch, NV",316,151,5,10,14,12,15,6,12,8,6,19,12,19,11,2,165,4,10,5,6,9,8,12,14,33,27,15,12,10,0,"Campbell Ranch, NV",150,83,9,9,13,18,21,9,26,10,9,16,13,16,16,6,87,11,14,9,10,12,12,13,20,36,22,13,9,9,12
"G0450","2014-2018",,,,,,,,,"Campo Indian Reservation, CA","0450",,,,,,,,,,,,,,,,,,,,,,"Campo Indian Reservation, CA",271,130,17,12,10,2,7,2,12,15,25,10,10,5,3,0,141,22,7,12,3,11,5,10,18,12,25,7,4,5,0,"Campo Indian Reservation, CA",92,45,13,9,8,3,7,5,13,11,21,9,7,4,4,12,57,13,6,10,6,16,9,10,15,9,16,7,7,6,12
"G0495","2014-2018",,,,,,,,,"Capitan Grande Reservation, CA","0495",,,,,,,,,,,,,,,,,,,,,,"Capitan Grande Reservation, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Capitan Grande Reservation, CA",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"G0510","2014-2018",,,,,,,,,"Carson Colony, NV","0510",,,,,,,,,,,,,,,,,,,,,,"Carson Colony, NV",251,124,0,11,12,7,4,8,7,11,10,25,11,5,13,0,127,11,2,8,7,4,21,4,6,10,18,18,11,5,2,"Carson Colony, NV",83,50,12,10,11,7,6,13,19,13,12,16,11,7,16,12,55,10,3,9,7,8,22,10,6,9,11,13,8,7,6
"G0525","2014-2018",,,,,,,,,"Catawba Reservation, SC","0525",,,,,,,,,,,,,,,,,,,,,,"Catawba Reservation, SC",841,462,35,39,48,24,17,45,16,21,79,38,46,42,12,0,379,27,19,41,12,9,17,10,48,93,34,26,27,16,0,"Catawba Reservation, SC",189,131,17,31,41,16,15,31,12,17,44,31,27,29,14,12,104,19,15,28,10,11,16,12,51,46,21,16,19,13,12
"G0540","2014-2018",,,,,,,,,"Cattaraugus Reservation, NY","0540",,,,,,,,,,,,,,,,,,,,,,"Cattaraugus Reservation, NY",1835,842,61,115,16,11,32,85,68,29,57,103,135,98,15,17,993,64,73,74,49,28,99,40,54,72,185,117,64,34,40,"Cattaraugus Reservation, NY",212,135,33,49,18,18,23,44,53,31,35,47,59,35,16,18,132,37,40,45,30,25,38,30,38,36,53,38,36,22,22
"G0555","2014-2018",,,,,,,,,"Cedarville Rancheria and Off-Reservation Trust Land, CA","0555",,,,,,,,,,,,,,,,,,,,,,"Cedarville Rancheria and Off-Reservation Trust Land, CA",26,17,0,2,7,6,0,0,0,0,0,2,0,0,0,0,9,1,2,0,1,1,0,1,0,3,0,0,0,0,0,"Cedarville Rancheria and Off-Reservation Trust Land, CA",27,21,12,4,8,8,12,12,12,12,12,6,12,12,12,12,10,2,4,12,3,2,12,3,12,5,12,12,12,12,12
"G0560","2014-2018",,,,,,,,,"Celilo Village, OR","0560",,,,,,,,,,,,,,,,,,,,,,"Celilo Village, OR",61,31,5,1,4,5,3,3,2,0,4,1,3,0,0,0,30,0,5,2,0,1,1,8,3,4,2,2,0,2,0,"Celilo Village, OR",33,18,8,2,4,6,4,4,5,12,6,2,4,12,12,12,18,12,5,3,12,4,3,10,4,6,3,3,12,3,12
"G0575","2014-2018",,,,,,,,,"Chehalis Reservation and Off-Reservation Trust Land, WA","0575",,,,,,,,,,,,,,,,,,,,,,"Chehalis Reservation and Off-Reservation Trust Land, WA",411,210,24,21,24,13,2,19,29,13,25,19,8,10,3,0,201,12,14,13,8,4,39,15,14,10,24,34,7,5,2,"Chehalis Reservation and Off-Reservation Trust Land, WA",116,70,25,13,18,9,4,14,21,13,13,15,10,8,5,12,61,14,11,13,10,6,25,16,14,9,15,15,7,7,4
"G0585","2014-2018",,,,,,,,,"Chemehuevi Reservation, CA","0585",,,,,,,,,,,,,,,,,,,,,,"Chemehuevi Reservation, CA",222,103,25,11,13,7,0,6,16,0,6,2,12,3,2,0,119,17,5,9,4,5,19,10,5,8,7,8,18,4,0,"Chemehuevi Reservation, CA",63,35,18,8,13,7,12,8,12,12,8,3,8,4,3,12,37,13,5,8,5,7,12,9,4,9,6,7,9,5,12
"G0605","2014-2018",,,,,,,,,"Cheyenne River Reservation and Off-Reservation Trust Land, SD","0605",,,,,,,,,,,,,,,,,,,,,,"Cheyenne River Reservation and Off-Reservation Trust Land, SD",6630,3234,410,354,330,197,114,270,206,213,362,332,258,140,31,17,3396,367,373,377,211,111,272,201,203,401,361,272,158,78,11,"Cheyenne River Reservation and Off-Reservation Trust Land, SD",42,31,11,35,35,7,13,3,7,5,27,30,11,19,15,10,19,11,38,39,13,4,13,3,4,3,13,12,11,15,11
"G0620","2014-2018",,,,,,,,,"Chicken Ranch Rancheria and Off-Reservation Trust Land, CA","0620",,,,,,,,,,,,,,,,,,,,,,"Chicken Ranch Rancheria and Off-Reservation Trust Land, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chicken Ranch Rancheria and Off-Reservation Trust Land, CA",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"G0635","2014-2018",,,,,,,,,"Chitimacha Reservation, LA","0635",,,,,,,,,,,,,,,,,,,,,,"Chitimacha Reservation, LA",270,127,11,8,12,4,2,6,9,6,21,22,11,8,3,4,143,7,24,11,0,3,9,9,11,8,33,5,21,0,2,"Chitimacha Reservation, LA",86,44,13,8,12,6,4,9,8,8,12,14,10,6,5,4,54,10,22,11,12,5,14,11,9,8,16,5,14,12,5
"G0680","2014-2018",,,,,,,,,"Pueblo de Cochiti, NM","0680",,,,,,,,,,,,,,,,,,,,,,"Pueblo de Cochiti, NM",754,380,31,32,50,20,9,34,31,24,40,44,29,20,3,13,374,15,50,36,11,12,28,19,20,39,52,38,26,19,9,"Pueblo de Cochiti, NM",98,61,17,16,19,13,9,18,15,15,14,16,14,11,4,10,55,11,18,16,9,10,12,14,12,14,18,15,10,9,8
"G0690","2014-2018",,,,,,,,,"Coconut Creek Trust Land, FL","0690",,,,,,,,,,,,,,,,,,,,,,"Coconut Creek Trust Land, FL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Coconut Creek Trust Land, FL",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
"G0695","2014-2018",,,,,,,,,"Cocopah Reservation, AZ","0695",,,,,,,,,,,,,,,,,,,,,,"Cocopah Reservation, AZ",648,293,26,14,26,21,7,29,18,18,83,25,10,9,5,2,355,57,30,34,5,6,36,20,21,45,21,62,8,8,2,"Cocopah Reservation, AZ",170,83,23,14,22,17,6,23,17,15,41,17,8,8,5,3,112,46,19,18,6,9,23,15,20,25,18,31,8,8,4
"G0705","2014-2018",,,,,,,,,"Coeur d'Alene Reservation, ID","0705",,,,,,,,,,,,,,,,,,,,,,"Coeur d'Alene Reservation, ID",1562,729,81,89,81,50,33,50,22,27,111,92,55,29,9,0,833,77,67,115,44,15,54,34,63,119,96,88,48,9,4,"Coeur d'Alene Reservation, ID",212,94,41,33,17,25,18,29,16,14,34,47,12,21,10,17,150,39,25,42,25,17,20,15,28,37,40,40,20,7,5
"G0720","2014-2018",,,,,,,,,"Cold Springs Rancheria, CA","0720",,,,,,,,,,,,,,,,,,,,,,"Cold Springs Rancheria, CA",102,39,2,7,0,1,0,1,7,4,5,1,4,4,3,0,63,9,2,11,5,2,0,5,4,4,8,7,1,5,0,"Cold Springs Rancheria, CA",50,20,4,7,12,3,12,4,6,5,7,2,5,6,4,12,35,10,3,9,9,3,12,6,6,7,10,7,3,6,12
"G0735","2014-2018",,,,,,,,,"Colorado River Indian Reservation, AZ--CA","0735",,,,,,,,,,,,,,,,,,,,,,"Colorado River Indian Reservation, AZ--CA",2875,1468,163,129,120,135,72,54,58,122,189,171,130,95,30,0,1407,110,145,121,47,29,118,86,79,152,184,156,83,61,36,"Colorado River Indian Reservation, AZ--CA",252,151,52,28,43,45,46,42,48,53,61,75,37,35,33,16,158,25,46,63,28,34,51,59,16,25,33,38,35,32,27
"G0750","2014-2018",,,,,,,,,"Colusa Rancheria, CA","0750",,,,,,,,,,,,,,,,,,,,,,"Colusa Rancheria, CA",23,11,1,2,0,1,1,2,0,0,3,0,0,0,1,0,12,2,1,0,0,0,2,2,0,2,0,2,1,0,0,"Colusa Rancheria, CA",21,11,2,3,12,2,2,4,12,12,4,12,12,12,2,12,12,4,2,12,12,12,3,4,12,4,12,4,2,12,12
"G0760","2014-2018",,,,,,,,,"Colville Reservation and Off-Reservation Trust Land, WA","0760",,,,,,,,,,,,,,,,,,,,,,"Colville Reservation and Off-Reservation Trust Land, WA",3851,1973,175,159,127,132,17,146,192,78,347,179,191,156,58,16,1878,123,126,108,90,44,166,203,158,200,191,257,122,64,26,"Colville Reservation and Off-Reservation Trust Land, WA",331,210,79,60,50,46,14,56,37,62,33,45,72,43,18,15,204,55,43,42,36,18,37,23,37,61,50,50,45,26,18
"G0770","2014-2018",,,,,,,,,"Coos, Lower Umpqua, and Siuslaw Reservation and Off-Reservation Trust Land, OR","0770",,,,,,,,,,,,,,,,,,,,,,"Coos, Lower Umpqua, and Siuslaw Reservation and Off-Reservation Trust Land, OR",63,27,5,0,0,0,0,0,6,4,3,0,9,0,0,0,36,9,0,0,0,2,0,9,0,0,1,2,13,0,0,"Coos, Lower Umpqua, and Siuslaw Reservation and Off-Reservation Trust Land, OR",38,25,11,12,12,12,12,12,8,8,5,12,13,12,12,12,26,10,12,12,12,4,12,16,12,12,4,4,12,12,12
"G0775","2014-2018",,,,,,,,,"Coquille Reservation, OR","0775",,,,,,,,,,,,,,,,,,,,,,"Coquille Reservation, OR",158,70,7,8,8,3,3,9,3,9,7,10,3,0,0,0,88,5,4,5,0,0,4,21,5,9,5,2,20,3,5,"Coquille Reservation, OR",71,36,12,10,8,5,5,13,5,9,10,12,6,12,12,12,48,6,6,10,12,12,8,20,9,11,9,4,14,6,9
"G0780","2014-2018",,,,,,,,,"Cortina Indian Rancheria, CA","0780",,,,,,,,,,,,,,,,,,,,,,"Cortina Indian Rancheria, CA",28,18,4,1,1,1,2,5,0,2,0,1,1,0,0,0,10,0,0,0,0,0,2,0,2,3,1,2,0,0,0,"Cortina Indian Rancheria, CA",23,15,5,2,2,2,4,8,12,4,12,4,3,12,12,12,10,12,12,12,12,12,5,12,4,6,4,4,12,12,12
"G0795","2014-2018",,,,,,,,,"Coushatta Reservation and Off-Reservation Trust Land, LA","0795",,,,,,,,,,,,,,,,,,,,,,"Coushatta Reservation and Off-Reservation Trust Land, LA",55,25,3,2,0,3,0,0,0,1,6,1,6,3,0,0,30,0,2,0,5,5,0,2,5,3,5,0,3,0,0,"Coushatta Reservation and Off-Reservation Trust Land, LA",41,24,5,3,12,7,12,12,12,4,8,3,9,8,12,12,22,12,4,12,7,8,12,5,5,4,7,12,8,12,12
"G0815","2014-2018",,,,,,,,,"Cow Creek Reservation and Off-Reservation Trust Land, OR","0815",,,,,,,,,,,,,,,,,,,,,,"Cow Creek Reservation and Off-Reservation Trust Land, OR",78,32,3,0,4,0,0,3,12,3,0,4,1,2,0,0,46,8,4,1,2,0,9,2,1,7,3,7,2,0,0,"Cow Creek Reservation and Off-Reservation Trust Land, OR",40,23,4,12,6,12,12,5,19,5,12,6,2,3,12,12,28,7,6,2,4,12,16,4,2,8,5,9,4,12,12
"G0820","2014-2018",,,,,,,,,"Cowlitz Reservation, WA","0820",,,,,,,,,,,,,,,,,,,,,,"Cowlitz Reservation, WA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cowlitz Reservation, WA",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
