GISJOIN,YEAR,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHH,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,NAME_E,ABK3E001,ABK3E002,ABK3E003,ABK3E004,ABK3E005,ABK3E006,ABK3E007,ABK3E008,ABK3E009,ABK3E010,ABK3E011,ABK3E012,ABK3E013,ABK3E014,ABK3E015,ABK3E016,ABK3E017,ABK3E018,ABK3E019,ABK3E020,ABK3E021,ABK3E022,ABK3E023,ABK3E024,ABK3E025,ABK3E026,ABK3E027,ABK3E028,ABK3E029,ABK3E030,ABK3E031,NAME_M,ABK3M001,ABK3M002,ABK3M003,ABK3M004,ABK3M005,ABK3M006,ABK3M007,ABK3M008,ABK3M009,ABK3M010,ABK3M011,ABK3M012,ABK3M013,ABK3M014,ABK3M015,ABK3M016,ABK3M017,ABK3M018,ABK3M019,ABK3M020,ABK3M021,ABK3M022,ABK3M023,ABK3M024,ABK3M025,ABK3M026,ABK3M027,ABK3M028,ABK3M029,ABK3M030,ABK3M031
"G8100","2010-2014",,,,,,,,,"Cayuga Nation TDSA, NY","8100",,,,,,,,,,,,,,,,,,,,,,"Cayuga Nation TDSA, NY",12,10,0,0,0,0,0,0,0,1,0,0,7,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"Cayuga Nation TDSA, NY",9,9,11,11,11,11,11,11,11,2,11,11,7,3,11,11,3,11,11,11,11,11,11,11,11,11,11,2,2,11,11
"G8300","2010-2014",,,,,,,,,"Ione Band of Miwok TDSA, CA","8300",,,,,,,,,,,,,,,,,,,,,,"Ione Band of Miwok TDSA, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ione Band of Miwok TDSA, CA",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"G8450","2010-2014",,,,,,,,,"Mechoopda TDSA, CA","8450",,,,,,,,,,,,,,,,,,,,,,"Mechoopda TDSA, CA",59,28,3,0,1,1,1,9,2,3,0,3,4,1,0,0,31,3,0,0,5,0,3,1,0,1,7,6,4,1,0,"Mechoopda TDSA, CA",26,15,4,12,3,2,2,13,4,4,12,4,5,5,12,12,18,4,12,12,6,12,7,2,12,2,6,7,6,2,12
"G8750","2010-2014",,,,,,,,,"Samish TDSA, WA","8750",,,,,,,,,,,,,,,,,,,,,,"Samish TDSA, WA",311,134,0,9,17,6,0,6,2,8,26,25,10,23,2,0,177,2,0,7,7,0,15,10,12,16,24,25,35,15,9,"Samish TDSA, WA",52,39,25,14,12,7,25,5,4,7,15,14,7,11,3,25,38,4,25,8,6,25,14,11,15,10,16,15,21,15,8
"G9100","2010-2014",,,,,,,,,"Golden Hill Paugussett (state) Reservation, CT","9100",,,,,,,,,,,,,,,,,,,,,,"Golden Hill Paugussett (state) Reservation, CT",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Golden Hill Paugussett (state) Reservation, CT",4,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,4,12,12,12,12,12,12,12,12,12,12,4,12,12,12
"G9150","2010-2014",,,,,,,,,"Hassanamisco (state) Reservation, MA","9150",,,,,,,,,,,,,,,,,,,,,,"Hassanamisco (state) Reservation, MA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hassanamisco (state) Reservation, MA",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"G9230","2010-2014",,,,,,,,,"Mattaponi (state) Reservation, VA","9230",,,,,,,,,,,,,,,,,,,,,,"Mattaponi (state) Reservation, VA",16,7,0,1,0,0,0,2,0,0,2,0,0,2,0,0,9,0,0,0,0,0,0,1,0,0,2,5,0,1,0,"Mattaponi (state) Reservation, VA",12,10,12,5,12,12,12,3,12,12,5,12,12,5,12,12,7,12,12,12,12,12,12,2,12,12,3,5,12,2,12
"G9240","2010-2014",,,,,,,,,"MOWA Choctaw (state) Reservation, AL","9240",,,,,,,,,,,,,,,,,,,,,,"MOWA Choctaw (state) Reservation, AL",134,56,16,0,20,0,0,5,0,1,3,2,9,0,0,0,78,8,2,8,1,3,4,10,5,4,7,14,4,4,4,"MOWA Choctaw (state) Reservation, AL",75,45,19,11,24,11,11,6,11,3,5,4,10,11,11,11,38,14,3,9,2,6,7,13,9,6,11,12,5,6,5
"G9260","2010-2014",,,,,,,,,"Pamunkey (state) Reservation, VA","9260",,,,,,,,,,,,,,,,,,,,,,"Pamunkey (state) Reservation, VA",38,26,0,1,0,0,0,0,0,1,0,2,11,2,9,0,12,0,0,0,0,0,0,0,0,0,3,5,0,3,1,"Pamunkey (state) Reservation, VA",20,16,12,3,12,12,12,12,12,4,12,3,8,3,9,12,7,12,12,12,12,12,12,12,12,12,4,5,12,5,2
"G9280","2010-2014",,,,,,,,,"Paucatuck Eastern Pequot (state) Reservation, CT","9280",,,,,,,,,,,,,,,,,,,,,,"Paucatuck Eastern Pequot (state) Reservation, CT",14,8,0,0,0,0,0,2,0,0,0,1,4,0,1,0,6,0,0,0,0,1,1,0,0,0,3,1,0,0,0,"Paucatuck Eastern Pequot (state) Reservation, CT",16,8,12,12,12,12,12,4,12,12,12,3,4,12,2,12,11,12,12,12,12,5,5,12,12,12,5,2,12,12,12
"G9300","2010-2014",,,,,,,,,"Poospatuck (state) Reservation, NY","9300",,,,,,,,,,,,,,,,,,,,,,"Poospatuck (state) Reservation, NY",271,141,2,9,0,0,6,18,14,13,11,12,28,16,0,12,130,12,7,9,4,5,19,19,7,5,10,10,17,6,0,"Poospatuck (state) Reservation, NY",122,67,5,13,11,11,13,24,17,15,10,14,25,15,11,13,64,15,9,10,5,8,22,21,9,7,11,9,17,7,11
