GISJOIN,YEAR,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHH,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,NAME_E,ABK3E001,ABK3E002,ABK3E003,ABK3E004,ABK3E005,ABK3E006,ABK3E007,ABK3E008,ABK3E009,ABK3E010,ABK3E011,ABK3E012,ABK3E013,ABK3E014,ABK3E015,ABK3E016,ABK3E017,ABK3E018,ABK3E019,ABK3E020,ABK3E021,ABK3E022,ABK3E023,ABK3E024,ABK3E025,ABK3E026,ABK3E027,ABK3E028,ABK3E029,ABK3E030,ABK3E031,NAME_M,ABK3M001,ABK3M002,ABK3M003,ABK3M004,ABK3M005,ABK3M006,ABK3M007,ABK3M008,ABK3M009,ABK3M010,ABK3M011,ABK3M012,ABK3M013,ABK3M014,ABK3M015,ABK3M016,ABK3M017,ABK3M018,ABK3M019,ABK3M020,ABK3M021,ABK3M022,ABK3M023,ABK3M024,ABK3M025,ABK3M026,ABK3M027,ABK3M028,ABK3M029,ABK3M030,ABK3M031
"G0010","2010-2014",,,,,,,,,"Acoma Pueblo and Off-Reservation Trust Land, NM","0010",,,,,,,,,,,,,,,,,,,,,,"Acoma Pueblo and Off-Reservation Trust Land, NM",3101,1366,119,106,106,42,32,100,115,101,163,182,199,30,71,0,1735,110,128,121,59,61,125,178,101,192,293,189,76,77,25,"Acoma Pueblo and Off-Reservation Trust Land, NM",326,170,44,39,38,25,23,43,38,39,57,49,50,19,37,12,207,34,41,39,27,26,52,53,32,65,69,48,39,32,27
"G0020","2010-2014",,,,,,,,,"Agua Caliente Indian Reservation and Off-Reservation Trust Land, CA","0020",,,,,,,,,,,,,,,,,,,,,,"Agua Caliente Indian Reservation and Off-Reservation Trust Land, CA",262,133,13,3,3,0,0,15,31,1,11,21,24,8,3,0,129,1,23,5,4,5,10,16,4,14,15,8,21,3,0,"Agua Caliente Indian Reservation and Off-Reservation Trust Land, CA",92,48,12,3,3,23,23,14,34,2,11,15,18,6,4,23,55,2,29,5,6,8,15,15,5,12,11,7,12,4,23
"G0050","2010-2014",,,,,,,,,"Alabama-Coushatta Reservation and Off-Reservation Trust Land, TX","0050",,,,,,,,,,,,,,,,,,,,,,"Alabama-Coushatta Reservation and Off-Reservation Trust Land, TX",416,213,1,16,21,24,4,15,14,12,27,24,20,21,10,4,203,18,11,18,16,3,13,7,19,24,14,16,33,4,7,"Alabama-Coushatta Reservation and Off-Reservation Trust Land, TX",119,64,5,16,23,16,4,12,13,13,20,16,13,13,12,6,73,16,12,18,12,5,12,7,16,16,10,12,19,6,7
"G0080","2010-2014",,,,,,,,,"Allegany Reservation, NY","0080",,,,,,,,,,,,,,,,,,,,,,"Allegany Reservation, NY",1547,774,84,60,67,36,14,81,45,44,103,102,72,48,18,0,773,84,85,55,42,31,53,53,25,107,115,46,49,23,5,"Allegany Reservation, NY",175,97,24,29,36,19,13,24,22,17,27,20,22,16,10,16,105,27,32,26,13,20,24,19,14,33,27,23,16,10,5
"G0095","2010-2014",,,,,,,,,"Alturas Indian Rancheria, CA","0095",,,,,,,,,,,,,,,,,,,,,,"Alturas Indian Rancheria, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alturas Indian Rancheria, CA",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"G0110","2010-2014",,,,,,,,,"Annette Island Reserve, AK","0110",,,,,,,,,,,,,,,,,,,,,,"Annette Island Reserve, AK",1315,688,76,65,27,22,24,44,39,42,75,109,84,68,9,4,627,65,38,62,33,14,41,50,41,47,79,91,42,24,0,"Annette Island Reserve, AK",118,71,20,26,13,10,12,24,18,15,24,21,22,11,9,5,67,24,16,18,12,11,12,18,15,16,20,21,18,10,9
"G0115","2010-2014",,,,,,,,,"Aroostook Band of Micmac Trust Land, ME","0115",,,,,,,,,,,,,,,,,,,,,,"Aroostook Band of Micmac Trust Land, ME",166,67,13,10,0,4,0,5,4,7,14,9,0,1,0,0,99,13,4,4,0,1,50,10,2,4,3,6,0,2,0,"Aroostook Band of Micmac Trust Land, ME",71,32,11,10,10,4,10,7,5,8,13,8,10,2,10,10,58,15,6,5,10,2,41,18,5,5,4,10,10,5,10
"G0120","2010-2014",,,,,,,,,"Auburn Rancheria and Off-Reservation Trust Land, CA","0120",,,,,,,,,,,,,,,,,,,,,,"Auburn Rancheria and Off-Reservation Trust Land, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Auburn Rancheria and Off-Reservation Trust Land, CA",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"G0125","2010-2014",,,,,,,,,"Augustine Reservation, CA","0125",,,,,,,,,,,,,,,,,,,,,,"Augustine Reservation, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Augustine Reservation, CA",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"G0140","2010-2014",,,,,,,,,"Bad River Reservation, WI","0140",,,,,,,,,,,,,,,,,,,,,,"Bad River Reservation, WI",969,468,29,50,48,25,22,23,25,22,42,89,52,32,8,1,501,33,57,33,34,17,32,26,41,53,88,31,44,10,2,"Bad River Reservation, WI",138,86,18,22,24,12,11,21,20,17,22,27,20,15,7,2,82,19,27,16,14,15,14,15,18,20,29,16,18,9,3
"G0155","2010-2014",,,,,,,,,"Barona Reservation, CA","0155",,,,,,,,,,,,,,,,,,,,,,"Barona Reservation, CA",437,253,42,26,37,18,2,21,5,12,50,18,15,2,5,0,184,17,10,24,23,2,17,9,14,21,18,13,11,5,0,"Barona Reservation, CA",92,72,25,18,18,16,3,15,7,10,29,11,8,3,6,12,45,9,15,14,15,3,11,9,10,18,10,12,8,5,12
"G0165","2010-2014",,,,,,,,,"Battle Mountain Reservation, NV","0165",,,,,,,,,,,,,,,,,,,,,,"Battle Mountain Reservation, NV",151,78,9,11,7,6,0,6,2,4,3,15,11,4,0,0,73,3,3,8,5,0,0,2,11,5,17,1,14,4,0,"Battle Mountain Reservation, NV",67,32,8,9,10,8,13,7,3,9,5,15,13,5,13,13,41,4,6,9,11,13,13,4,9,7,19,2,11,6,13
"G0170","2010-2014",,,,,,,,,"Bay Mills Reservation and Off-Reservation Trust Land, MI","0170",,,,,,,,,,,,,,,,,,,,,,"Bay Mills Reservation and Off-Reservation Trust Land, MI",756,345,24,51,20,12,22,30,36,22,37,30,21,20,17,3,411,52,38,34,26,3,44,21,18,67,65,21,14,8,0,"Bay Mills Reservation and Off-Reservation Trust Land, MI",143,87,15,31,12,10,21,19,22,13,14,17,14,12,13,5,81,29,18,22,18,5,29,18,13,28,30,12,8,8,10
"G0185","2010-2014",,,,,,,,,"Benton Paiute Reservation and Off-Reservation Trust Land, CA","0185",,,,,,,,,,,,,,,,,,,,,,"Benton Paiute Reservation and Off-Reservation Trust Land, CA",34,12,2,1,1,0,0,0,0,0,2,3,1,1,1,0,22,0,2,3,0,0,0,0,4,2,3,7,1,0,0,"Benton Paiute Reservation and Off-Reservation Trust Land, CA",34,15,7,5,3,12,12,12,12,12,3,6,2,2,2,12,24,12,7,7,12,12,12,12,8,6,5,13,2,12,12
"G0200","2010-2014",,,,,,,,,"Berry Creek Rancheria and Off-Reservation Trust Land, CA","0200",,,,,,,,,,,,,,,,,,,,,,"Berry Creek Rancheria and Off-Reservation Trust Land, CA",46,17,2,1,2,1,2,0,0,0,3,2,2,1,1,0,29,1,2,5,1,1,2,2,2,4,4,2,2,1,0,"Berry Creek Rancheria and Off-Reservation Trust Land, CA",29,10,4,2,3,2,4,12,12,12,5,4,3,2,4,12,24,2,3,7,2,2,3,3,3,4,5,3,3,2,12
"G0215","2010-2014",,,,,,,,,"Big Bend Rancheria, CA","0215",,,,,,,,,,,,,,,,,,,,,,"Big Bend Rancheria, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Big Bend Rancheria, CA",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"G0225","2010-2014",,,,,,,,,"Big Cypress Reservation, FL","0225",,,,,,,,,,,,,,,,,,,,,,"Big Cypress Reservation, FL",500,272,27,21,50,30,18,15,10,22,11,47,13,4,0,4,228,26,31,33,9,5,3,9,10,27,48,16,4,7,0,"Big Cypress Reservation, FL",48,25,9,12,12,10,15,15,11,17,10,19,12,6,13,7,43,8,12,12,8,9,6,10,11,17,21,18,7,11,13
"G0240","2010-2014",,,,,,,,,"Big Lagoon Rancheria, CA","0240",,,,,,,,,,,,,,,,,,,,,,"Big Lagoon Rancheria, CA",6,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,"Big Lagoon Rancheria, CA",9,5,2,12,3,12,12,12,12,12,12,12,12,12,12,12,4,12,2,12,12,12,12,12,12,3,12,12,12,12,12
"G0250","2010-2014",,,,,,,,,"Big Pine Reservation, CA","0250",,,,,,,,,,,,,,,,,,,,,,"Big Pine Reservation, CA",330,150,17,20,9,11,2,7,9,10,23,20,20,1,1,0,180,14,8,9,4,4,4,11,34,15,32,14,21,10,0,"Big Pine Reservation, CA",77,41,11,11,6,10,4,8,8,12,12,10,11,2,2,12,49,12,7,6,4,4,7,10,16,13,18,10,14,8,12
"G0265","2010-2014",,,,,,,,,"Big Sandy Rancheria, CA","0265",,,,,,,,,,,,,,,,,,,,,,"Big Sandy Rancheria, CA",182,111,10,5,25,45,0,6,1,0,10,4,2,3,0,0,71,4,11,12,1,10,2,2,4,14,4,4,2,0,1,"Big Sandy Rancheria, CA",121,83,9,7,25,53,12,5,2,12,14,6,3,4,12,12,43,6,10,13,2,13,4,4,6,17,5,5,3,12,2
"G0275","2010-2014",,,,,,,,,"Big Valley Rancheria, CA","0275",,,,,,,,,,,,,,,,,,,,,,"Big Valley Rancheria, CA",173,107,6,16,18,3,0,7,0,12,8,3,5,16,2,11,66,2,10,5,0,4,8,6,5,7,5,0,12,2,0,"Big Valley Rancheria, CA",96,59,11,16,23,5,12,12,12,14,15,4,6,17,6,20,48,5,19,9,12,7,7,8,6,10,6,12,15,5,12
"G0290","2010-2014",,,,,,,,,"Bishop Reservation, CA","0290",,,,,,,,,,,,,,,,,,,,,,"Bishop Reservation, CA",1109,520,44,63,34,37,28,24,56,23,56,62,67,13,8,5,589,39,42,57,37,20,44,33,40,95,53,47,53,23,6,"Bishop Reservation, CA",122,78,22,21,14,14,22,23,9,19,17,19,14,11,8,8,80,15,21,21,20,14,14,24,18,18,26,21,13,15,9
"G0305","2010-2014",,,,,,,,,"Blackfeet Indian Reservation and Off-Reservation Trust Land, MT","0305",,,,,,,,,,,,,,,,,,,,,,"Blackfeet Indian Reservation and Off-Reservation Trust Land, MT",8737,4293,433,507,395,221,128,339,293,254,457,558,390,194,90,34,4444,443,492,390,217,131,355,280,273,451,664,420,225,80,23,"Blackfeet Indian Reservation and Off-Reservation Trust Land, MT",260,155,47,82,84,32,75,88,30,37,17,41,26,20,24,22,139,54,56,55,16,18,43,43,34,40,29,46,40,30,21
"G0325","2010-2014",,,,,,,,,"Blue Lake Rancheria and Off-Reservation Trust Land, CA","0325",,,,,,,,,,,,,,,,,,,,,,"Blue Lake Rancheria and Off-Reservation Trust Land, CA",28,16,0,0,2,0,2,5,0,0,1,4,0,0,2,0,12,0,1,2,2,0,0,0,0,2,2,2,0,0,1,"Blue Lake Rancheria and Off-Reservation Trust Land, CA",23,12,12,12,4,12,4,7,12,12,2,6,12,12,3,12,13,12,4,3,4,12,12,12,12,4,4,3,12,12,3
"G0335","2010-2014",,,,,,,,,"Bois Forte Reservation, MN","0335",,,,,,,,,,,,,,,,,,,,,,"Bois Forte Reservation, MN",513,248,8,40,40,8,6,21,11,28,16,40,12,15,3,0,265,28,19,28,4,14,12,22,26,13,43,19,19,18,0,"Bois Forte Reservation, MN",114,71,9,18,23,7,11,14,9,21,15,20,10,10,5,9,68,15,14,21,8,16,12,17,18,9,20,11,12,16,9
"G0350","2010-2014",,,,,,,,,"Bridgeport Reservation, CA","0350",,,,,,,,,,,,,,,,,,,,,,"Bridgeport Reservation, CA",44,11,0,0,0,0,0,0,3,0,1,0,2,0,5,0,33,0,0,0,0,0,22,0,0,0,7,0,2,1,1,"Bridgeport Reservation, CA",58,20,12,12,12,12,12,12,11,12,2,12,3,12,14,12,49,12,12,12,12,12,44,12,12,12,14,12,4,2,3
"G0360","2010-2014",,,,,,,,,"Brighton Reservation, FL","0360",,,,,,,,,,,,,,,,,,,,,,"Brighton Reservation, FL",477,259,20,24,27,101,0,12,6,4,19,13,9,16,8,0,218,26,19,15,22,0,29,29,12,13,21,18,8,6,0,"Brighton Reservation, FL",94,70,14,16,21,48,13,14,6,5,16,10,8,22,13,13,67,16,16,13,24,13,24,28,9,7,12,12,8,7,13
"G0400","2010-2014",,,,,,,,,"Burns Paiute Indian Colony and Off-Reservation Trust Land, OR","0400",,,,,,,,,,,,,,,,,,,,,,"Burns Paiute Indian Colony and Off-Reservation Trust Land, OR",142,65,5,1,3,0,9,7,4,7,7,15,0,7,0,0,77,4,4,0,2,1,1,6,4,12,6,17,13,7,0,"Burns Paiute Indian Colony and Off-Reservation Trust Land, OR",68,35,8,3,6,12,11,11,7,11,9,15,12,10,12,12,47,7,6,12,4,3,3,9,5,13,7,17,14,12,12
"G0415","2010-2014",,,,,,,,,"Cabazon Reservation, CA","0415",,,,,,,,,,,,,,,,,,,,,,"Cabazon Reservation, CA",21,7,0,0,0,0,0,0,0,0,3,0,0,0,4,0,14,5,4,0,0,0,0,1,0,3,1,0,0,0,0,"Cabazon Reservation, CA",23,9,12,12,12,12,12,12,12,12,6,12,12,12,5,12,20,8,6,12,12,12,12,4,12,5,3,12,12,12,12
"G0435","2010-2014",,,,,,,,,"Cahuilla Reservation, CA","0435",,,,,,,,,,,,,,,,,,,,,,"Cahuilla Reservation, CA",49,12,2,1,1,0,3,0,3,0,2,0,0,0,0,0,37,2,4,0,0,0,6,6,0,3,5,2,6,3,0,"Cahuilla Reservation, CA",42,17,4,7,5,12,6,12,6,12,4,12,12,12,12,12,30,3,13,12,12,12,10,9,12,5,9,3,5,5,12
"G0440","2010-2014",,,,,,,,,"Campbell Ranch, NV","0440",,,,,,,,,,,,,,,,,,,,,,"Campbell Ranch, NV",389,228,8,2,23,2,20,25,18,2,10,29,34,27,28,0,161,16,24,12,5,5,4,16,10,11,18,13,3,24,0,"Campbell Ranch, NV",195,112,10,4,31,4,18,28,23,4,11,19,31,35,31,13,103,18,35,17,7,12,6,25,13,13,17,16,6,26,13
"G0450","2010-2014",,,,,,,,,"Campo Indian Reservation, CA","0450",,,,,,,,,,,,,,,,,,,,,,"Campo Indian Reservation, CA",230,111,9,15,7,6,4,6,19,7,22,8,4,4,0,0,119,13,4,9,4,10,15,3,21,10,16,10,4,0,0,"Campo Indian Reservation, CA",85,41,9,10,8,6,5,8,16,10,16,9,5,4,12,12,52,11,5,13,8,12,17,5,14,8,12,8,5,12,12
"G0495","2010-2014",,,,,,,,,"Capitan Grande Reservation, CA","0495",,,,,,,,,,,,,,,,,,,,,,"Capitan Grande Reservation, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Capitan Grande Reservation, CA",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"G0510","2010-2014",,,,,,,,,"Carson Colony, NV","0510",,,,,,,,,,,,,,,,,,,,,,"Carson Colony, NV",190,80,3,2,5,5,11,5,2,3,3,22,10,6,3,0,110,3,6,9,4,2,17,6,7,7,25,15,5,3,1,"Carson Colony, NV",77,42,5,4,5,7,12,6,5,8,6,19,13,8,6,13,48,5,12,9,7,5,18,9,8,9,18,15,8,5,3
"G0525","2010-2014",,,,,,,,,"Catawba Reservation, SC","0525",,,,,,,,,,,,,,,,,,,,,,"Catawba Reservation, SC",516,269,23,13,19,17,15,13,6,32,30,39,32,28,2,0,247,6,26,12,17,4,7,3,17,53,59,17,9,15,2,"Catawba Reservation, SC",142,84,16,10,12,15,11,11,6,26,18,37,20,16,3,12,81,8,18,9,19,5,9,4,14,34,38,14,9,13,5
"G0540","2010-2014",,,,,,,,,"Cattaraugus Reservation, NY","0540",,,,,,,,,,,,,,,,,,,,,,"Cattaraugus Reservation, NY",1925,810,55,143,46,42,17,48,33,54,86,119,67,61,27,12,1115,213,46,66,43,7,41,67,34,121,168,137,90,55,27,"Cattaraugus Reservation, NY",241,143,35,62,25,32,18,42,26,40,44,45,32,28,29,15,161,69,30,37,32,21,28,41,23,42,56,51,28,27,17
"G0555","2010-2014",,,,,,,,,"Cedarville Rancheria and Off-Reservation Trust Land, CA","0555",,,,,,,,,,,,,,,,,,,,,,"Cedarville Rancheria and Off-Reservation Trust Land, CA",5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,"Cedarville Rancheria and Off-Reservation Trust Land, CA",6,5,4,12,3,12,12,12,12,12,12,12,12,12,12,12,6,12,12,12,2,2,12,2,12,12,12,12,12,12,12
"G0560","2010-2014",,,,,,,,,"Celilo Village, OR","0560",,,,,,,,,,,,,,,,,,,,,,"Celilo Village, OR",59,28,2,2,1,1,0,3,0,3,3,0,13,0,0,0,31,1,1,0,0,0,10,6,0,0,10,1,2,0,0,"Celilo Village, OR",40,18,4,4,2,2,12,4,12,4,4,12,12,12,12,12,28,2,2,12,12,12,10,8,12,12,12,2,4,12,12
"G0575","2010-2014",,,,,,,,,"Chehalis Reservation and Off-Reservation Trust Land, WA","0575",,,,,,,,,,,,,,,,,,,,,,"Chehalis Reservation and Off-Reservation Trust Land, WA",395,172,20,8,19,10,2,9,8,39,26,20,5,4,2,0,223,35,9,9,14,42,18,20,6,13,25,20,8,2,2,"Chehalis Reservation and Off-Reservation Trust Land, WA",100,57,16,9,13,10,4,11,10,34,23,16,5,5,3,12,65,29,7,9,11,33,15,16,8,11,17,13,8,4,4
"G0585","2010-2014",,,,,,,,,"Chemehuevi Reservation, CA","0585",,,,,,,,,,,,,,,,,,,,,,"Chemehuevi Reservation, CA",206,84,9,8,7,3,4,6,2,7,14,2,17,2,3,0,122,33,2,5,5,0,11,9,2,15,2,18,15,4,1,"Chemehuevi Reservation, CA",64,31,11,6,9,5,7,6,5,10,13,4,15,3,4,12,43,30,3,8,6,12,10,8,3,10,5,11,11,7,3
"G0605","2010-2014",,,,,,,,,"Cheyenne River Reservation and Off-Reservation Trust Land, SD","0605",,,,,,,,,,,,,,,,,,,,,,"Cheyenne River Reservation and Off-Reservation Trust Land, SD",6290,3056,390,356,333,187,118,248,201,195,328,346,193,117,26,18,3234,345,362,369,195,113,236,206,193,389,370,247,141,49,19,"Cheyenne River Reservation and Off-Reservation Trust Land, SD",57,48,38,43,48,10,6,8,12,24,8,9,10,16,14,12,41,29,41,38,6,6,3,9,4,5,7,12,21,18,13
"G0620","2010-2014",,,,,,,,,"Chicken Ranch Rancheria and Off-Reservation Trust Land, CA","0620",,,,,,,,,,,,,,,,,,,,,,"Chicken Ranch Rancheria and Off-Reservation Trust Land, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chicken Ranch Rancheria and Off-Reservation Trust Land, CA",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"G0635","2010-2014",,,,,,,,,"Chitimacha Reservation, LA","0635",,,,,,,,,,,,,,,,,,,,,,"Chitimacha Reservation, LA",259,149,1,11,24,23,0,18,13,3,11,22,9,5,5,4,110,3,2,38,6,0,3,8,8,14,12,13,2,1,0,"Chitimacha Reservation, LA",82,54,2,14,16,17,12,18,11,4,12,16,9,5,7,6,43,4,4,25,6,12,5,10,8,12,10,18,4,3,12
"G0680","2010-2014",,,,,,,,,"Pueblo de Cochiti, NM","0680",,,,,,,,,,,,,,,,,,,,,,"Pueblo de Cochiti, NM",667,348,25,38,35,25,16,13,17,26,54,24,42,23,10,0,319,15,17,17,13,0,17,21,18,42,49,53,28,21,8,"Pueblo de Cochiti, NM",114,75,11,16,19,15,9,9,11,20,17,11,20,10,8,12,56,11,10,9,9,12,10,12,11,16,14,21,12,11,7
"G0690","2010-2014",,,,,,,,,"Coconut Creek Trust Land, FL","0690",,,,,,,,,,,,,,,,,,,,,,"Coconut Creek Trust Land, FL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Coconut Creek Trust Land, FL",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
"G0695","2010-2014",,,,,,,,,"Cocopah Reservation, AZ","0695",,,,,,,,,,,,,,,,,,,,,,"Cocopah Reservation, AZ",659,211,20,25,43,17,4,18,9,15,24,18,11,5,2,0,448,83,36,14,64,4,43,13,18,88,14,56,8,4,3,"Cocopah Reservation, AZ",174,105,28,22,30,16,7,36,19,13,22,15,8,5,3,13,115,29,28,12,41,5,31,13,16,47,12,38,9,5,4
"G0705","2010-2014",,,,,,,,,"Coeur d'Alene Reservation, ID","0705",,,,,,,,,,,,,,,,,,,,,,"Coeur d'Alene Reservation, ID",1357,658,61,61,77,25,25,75,48,37,82,77,53,23,14,0,699,74,60,68,36,38,39,36,31,125,71,66,38,13,4,"Coeur d'Alene Reservation, ID",220,110,32,29,25,21,19,24,27,23,26,24,25,14,10,16,133,43,20,18,22,29,18,36,19,38,17,27,21,13,7
"G0720","2010-2014",,,,,,,,,"Cold Springs Rancheria, CA","0720",,,,,,,,,,,,,,,,,,,,,,"Cold Springs Rancheria, CA",207,132,8,12,6,33,6,2,14,5,10,5,20,2,9,0,75,5,3,4,4,8,5,1,2,12,23,2,4,2,0,"Cold Springs Rancheria, CA",94,66,11,18,8,36,7,4,13,8,11,5,20,3,8,12,39,6,4,5,5,12,7,3,4,14,14,3,6,3,12
"G0735","2010-2014",,,,,,,,,"Colorado River Indian Reservation, AZ--CA","0735",,,,,,,,,,,,,,,,,,,,,,"Colorado River Indian Reservation, AZ--CA",2791,1216,112,139,93,13,17,68,105,115,102,174,165,79,34,0,1575,128,179,113,127,22,108,81,75,120,263,181,122,53,3,"Colorado River Indian Reservation, AZ--CA",160,97,19,36,29,15,22,43,38,62,55,57,37,27,17,16,112,7,41,42,21,20,30,16,27,54,73,26,8,17,5
"G0750","2010-2014",,,,,,,,,"Colusa Rancheria, CA","0750",,,,,,,,,,,,,,,,,,,,,,"Colusa Rancheria, CA",79,35,10,8,0,5,3,0,0,1,1,0,3,2,2,0,44,17,3,2,0,2,0,3,6,1,2,6,0,2,0,"Colusa Rancheria, CA",47,22,6,13,12,8,4,12,12,2,2,12,5,4,4,12,33,13,6,5,12,4,12,4,12,3,3,12,12,4,12
"G0760","2010-2014",,,,,,,,,"Colville Reservation and Off-Reservation Trust Land, WA","0760",,,,,,,,,,,,,,,,,,,,,,"Colville Reservation and Off-Reservation Trust Land, WA",3951,2055,157,204,155,88,55,151,149,129,263,232,266,150,54,2,1896,180,135,119,115,49,205,186,94,173,244,199,100,63,34,"Colville Reservation and Off-Reservation Trust Land, WA",323,203,54,53,46,36,29,47,51,57,52,60,62,36,22,5,181,45,45,39,44,27,46,32,35,47,65,47,37,26,23
"G0770","2010-2014",,,,,,,,,"Coos, Lower Umpqua, and Siuslaw Reservation and Off-Reservation Trust Land, OR","0770",,,,,,,,,,,,,,,,,,,,,,"Coos, Lower Umpqua, and Siuslaw Reservation and Off-Reservation Trust Land, OR",48,17,0,2,0,2,0,0,2,7,2,2,0,0,0,0,31,7,4,6,0,0,0,4,2,4,1,1,2,0,0,"Coos, Lower Umpqua, and Siuslaw Reservation and Off-Reservation Trust Land, OR",33,14,12,5,12,4,12,12,4,9,4,5,12,12,12,12,23,11,8,10,12,12,12,6,3,6,2,4,4,12,12
"G0775","2010-2014",,,,,,,,,"Coquille Reservation, OR","0775",,,,,,,,,,,,,,,,,,,,,,"Coquille Reservation, OR",220,84,6,27,3,4,1,9,5,5,16,2,3,3,0,0,136,25,57,0,0,0,4,13,5,11,3,10,3,3,2,"Coquille Reservation, OR",138,46,7,28,4,7,4,14,6,7,19,4,4,5,12,12,103,30,55,12,12,12,8,20,7,13,5,10,5,4,5
"G0780","2010-2014",,,,,,,,,"Cortina Indian Rancheria, CA","0780",,,,,,,,,,,,,,,,,,,,,,"Cortina Indian Rancheria, CA",37,28,6,3,3,6,1,3,2,1,2,0,1,0,0,0,9,0,0,0,0,0,2,1,0,3,2,1,0,0,0,"Cortina Indian Rancheria, CA",30,24,18,5,5,6,3,5,4,3,3,12,3,12,12,12,10,12,12,12,12,12,4,3,12,5,4,3,12,12,12
"G0795","2010-2014",,,,,,,,,"Coushatta Reservation and Off-Reservation Trust Land, LA","0795",,,,,,,,,,,,,,,,,,,,,,"Coushatta Reservation and Off-Reservation Trust Land, LA",36,17,0,4,0,2,4,1,0,0,1,1,2,2,0,0,19,0,2,0,4,1,0,0,4,6,0,0,2,0,0,"Coushatta Reservation and Off-Reservation Trust Land, LA",24,14,12,5,12,4,7,2,12,12,2,2,5,3,12,12,15,12,3,12,5,2,12,12,6,7,12,12,4,12,12
"G0815","2010-2014",,,,,,,,,"Cow Creek Reservation and Off-Reservation Trust Land, OR","0815",,,,,,,,,,,,,,,,,,,,,,"Cow Creek Reservation and Off-Reservation Trust Land, OR",21,10,0,0,1,1,0,0,1,4,0,1,2,0,0,0,11,1,0,0,1,0,2,0,0,2,1,4,0,0,0,"Cow Creek Reservation and Off-Reservation Trust Land, OR",15,10,12,12,2,3,12,12,2,7,12,2,3,12,12,12,10,2,12,12,2,12,4,12,12,3,2,5,12,12,12
"G0825","2010-2014",,,,,,,,,"Coyote Valley Reservation, CA","0825",,,,,,,,,,,,,,,,,,,,,,"Coyote Valley Reservation, CA",164,98,25,9,14,14,0,2,7,9,12,2,4,0,0,0,66,7,7,10,14,0,1,13,0,4,4,6,0,0,0,"Coyote Valley Reservation, CA",88,55,24,12,14,19,12,4,11,10,11,5,6,12,12,12,43,9,7,12,18,12,3,9,12,6,7,11,12,12,12
"G0845","2010-2014",,,,,,,,,"Crow Reservation and Off-Reservation Trust Land, MT","0845",,,,,,,,,,,,,,,,,,,,,,"Crow Reservation and Off-Reservation Trust Land, MT",5438,2835,295,326,255,140,125,270,240,193,278,276,252,129,49,7,2603,402,233,231,97,81,187,252,122,245,280,243,141,60,29,"Crow Reservation and Off-Reservation Trust Land, MT",293,184,86,67,62,54,19,44,38,29,76,50,42,30,24,6,182,60,50,53,54,22,60,42,42,46,51,52,34,19,21
